# Defined at zenith (airmass=1)
# Unsure if data is for Palomar or Keck
Wavelength (nm),K
500,0.817613299
501,0.818097819
502,0.81858234
503,0.819066861
504,0.819551382
505,0.820035903
506,0.820562136
507,0.821172641
508,0.821783145
509,0.822393649
510,0.823004154
511,0.823614658
512,0.824225162
513,0.824835667
514,0.825446171
515,0.826056676
516,0.82666718
517,0.827277684
518,0.827888189
519,0.828498693
520,0.829069572
521,0.829271422
522,0.829473271
523,0.82967512
524,0.829876969
525,0.830078818
526,0.830280668
527,0.830482517
528,0.830684366
529,0.830886215
530,0.831088064
531,0.831289914
532,0.831491763
533,0.831693612
534,0.831895461
535,0.83227486
536,0.832719992
537,0.833165125
538,0.833610258
539,0.834055391
540,0.834500524
541,0.834945656
542,0.835390789
543,0.835835922
544,0.836281055
545,0.836726187
546,0.83717132
547,0.837616453
548,0.838016247
549,0.838179457
550,0.838342667
551,0.838505877
552,0.838669087
553,0.838832298
554,0.838995508
555,0.839158718
556,0.839321928
557,0.839485138
558,0.839648348
559,0.839811558
560,0.839974768
561,0.840137978
562,0.840301188
563,0.840201668
564,0.839699016
565,0.839196363
566,0.838693711
567,0.838191059
568,0.837688406
569,0.837185754
570,0.836683102
571,0.836180449
572,0.835677797
573,0.835175145
574,0.835215164
575,0.836249209
576,0.837283253
577,0.838317297
578,0.839351341
579,0.840385385
580,0.841419429
581,0.842453474
582,0.843487518
583,0.844521562
584,0.845555606
585,0.84658965
586,0.84679148
587,0.846913634
588,0.847035788
589,0.847157941
590,0.847280095
591,0.847402248
592,0.847524402
593,0.847646555
594,0.847768709
595,0.847890863
596,0.848013016
597,0.84813517
598,0.848257323
599,0.848417642
600,0.849031735
601,0.849645827
602,0.85025992
603,0.850874013
604,0.851488106
605,0.852102198
606,0.852716291
607,0.853330384
608,0.853944477
609,0.854558569
610,0.855172662
611,0.855786755
612,0.856400847
613,0.85701494
614,0.857629033
615,0.858243126
616,0.858857218
617,0.859209538
618,0.859489641
619,0.859769744
620,0.860049847
621,0.86032995
622,0.860610053
623,0.860890156
624,0.86117026
625,0.861450363
626,0.861730466
627,0.862010569
628,0.852312366
629,0.847524031
630,0.852172914
631,0.856821797
632,0.861470679
633,0.865118412
634,0.866292855
635,0.867467298
636,0.868641742
637,0.869816185
638,0.870990628
639,0.872165071
640,0.873339514
641,0.874513957
642,0.8756884
643,0.876862843
644,0.878037286
645,0.878431939
646,0.878811213
647,0.879190487
648,0.879569761
649,0.879949035
650,0.880328309
651,0.880707583
652,0.881086857
653,0.881466131
654,0.881845405
655,0.882224679
656,0.882603953
657,0.882983227
658,0.883362501
659,0.883808376
660,0.884379341
661,0.884950306
662,0.885521271
663,0.886092236
664,0.886663201
665,0.887234166
666,0.887805131
667,0.888376096
668,0.888947061
669,0.889518027
670,0.890088992
671,0.89055917
672,0.890931671
673,0.891304172
674,0.891676673
675,0.892049175
676,0.892421676
677,0.892794177
678,0.893166678
679,0.89353918
680,0.893911681
681,0.894284182
682,0.894656684
683,0.895029185
684,0.895401686
685,0.895774187
686,0.858025313
687,0.795755674
688,0.741115626
689,0.773036147
690,0.804956667
691,0.834974983
692,0.854572169
693,0.874169355
694,0.885670771
695,0.888872189
696,0.892073608
697,0.895275026
698,0.898476445
699,0.898873301
700,0.899185732
701,0.899498164
702,0.899810595
703,0.900123026
704,0.900435457
705,0.900747889
706,0.90106032
707,0.901372751
708,0.901685182
709,0.901997614
710,0.902310045
711,0.902622476
712,0.902934907
713,0.903247339
714,0.90355977
715,0.903872201
716,0.896590519
717,0.888850073
718,0.881109627
719,0.87336918
720,0.873263622
721,0.883699924
722,0.894136225
723,0.900082101
724,0.890765855
725,0.884063229
726,0.886017686
727,0.887972143
728,0.8899266
729,0.891881057
730,0.893835514
731,0.895789971
732,0.897638085
733,0.899254271
734,0.900870457
735,0.902486643
736,0.904102828
737,0.905719014
738,0.906274866
739,0.902454197
740,0.898633527
741,0.894812858
742,0.890992188
743,0.887171519
744,0.883350849
745,0.879530179
746,0.87570951
747,0.87188884
748,0.868068171
749,0.864247501
750,0.860426832
751,0.856606162
752,0.852785493
753,0.848964823
754,0.845144154
755,0.841323484
756,0.837502814
757,0.833682145
758,0.829861475
759,0.826040806
760,0.636279736
761,0.393250507
762,0.413779425
763,0.507834525
764,0.601889625
765,0.683210957
766,0.755653104
767,0.828095251
768,0.891950465
769,0.898548466
770,0.905146467
771,0.910564522
772,0.911371919
773,0.912179316
774,0.912986713
775,0.913794109
776,0.914601506
777,0.915408903
778,0.916201246
779,0.916262983
780,0.916324719
781,0.916386456
782,0.916448192
783,0.916509929
784,0.916571666
785,0.916633402
786,0.916695139
787,0.916756875
788,0.916818612
789,0.916880348
790,0.916942085
791,0.917003821
792,0.917065558
793,0.917127294
794,0.917189031
795,0.917250767
796,0.917312504
797,0.917374241
798,0.917435977
799,0.917497714
800,0.91755945
801,0.917621187
802,0.917682923
803,0.91774466
804,0.917806396
805,0.917868133
806,0.917929869
807,0.917991606
808,0.918053342
809,0.918115079
810,0.91503999
811,0.910965131
812,0.906890272
813,0.902815413
814,0.898740554
815,0.894665696
816,0.890590837
817,0.892559127
818,0.897022685
819,0.901486242
820,0.9059498
821,0.910413357
822,0.891124073
823,0.865355308
824,0.874288828
825,0.892433776
826,0.910578725
827,0.905506648
828,0.900355903
829,0.895205157
830,0.897335616
831,0.903037907
832,0.908740198
833,0.911031701
834,0.912846065
835,0.91466043
836,0.916474795
837,0.91828916
838,0.92006303
839,0.920189349
840,0.920315668
841,0.920441987
842,0.920568306
843,0.920694625
844,0.920820944
845,0.920947263
846,0.921073582
847,0.921199901
848,0.92132622
849,0.921452539
850,0.921578858
851,0.921705177
852,0.921831496
853,0.921957815
854,0.922084134
855,0.922210453
856,0.922336772
857,0.922463091
858,0.92258941
859,0.922715729
860,0.922842048
861,0.922968367
862,0.923094686
863,0.923221005
864,0.923347324
865,0.923473643
866,0.923599962
867,0.923726281
868,0.9238526
869,0.923978919
870,0.924105238
871,0.924231557
872,0.924357876
873,0.924484195
874,0.924610514
875,0.924736833
876,0.924863152
877,0.924989471
878,0.92511579
879,0.925242109
880,0.925368428
881,0.925494747
882,0.925621066
883,0.925747385
884,0.925873704
885,0.926000023
886,0.926126342
887,0.926252661
888,0.92637898
889,0.926505299
890,0.925056407
891,0.921327904
892,0.917599402
893,0.913870899
894,0.910142396
895,0.906413894
896,0.902685391
897,0.897978743
898,0.883621
899,0.869263256
900,0.855791598
901,0.86882359
902,0.881855581
903,0.894972091
904,0.908803636
905,0.92263518
906,0.907584523
907,0.891861168
908,0.886976609
909,0.88985386
910,0.892731111
911,0.895608362
912,0.893614651
913,0.889772065
914,0.885929478
915,0.882086891
916,0.880698913
917,0.889015797
918,0.897332682
919,0.905649566
920,0.91396645
921,0.918644338
922,0.918146143
923,0.917647948
924,0.917149753
925,0.916651558
926,0.916153363
927,0.915655168
928,0.901038801
929,0.878070962
930,0.855103123
931,0.832135283
932,0.809167444
933,0.786199605
934,0.763231766
935,0.740263926
936,0.717296087
937,0.694328248
938,0.723831658
939,0.802140506
940,0.880449355
941,0.846606971
942,0.811693734
943,0.776780496
944,0.749038425
945,0.768168481
946,0.787298537
947,0.806428593
948,0.825558649
949,0.853217201
950,0.877349451
951,0.826312743
952,0.776844239
953,0.813377553
954,0.848839021
955,0.837669018
956,0.826499015
957,0.815329012
958,0.804159008
959,0.851900759
960,0.85589294
961,0.859885122
962,0.863877303
963,0.867869484
964,0.871861665
965,0.875853847
966,0.879846028
967,0.883838209
968,0.901540251
969,0.916254148
970,0.913122005
971,0.909989862
972,0.90685772
973,0.903725577
974,0.900593434
975,0.897461292
976,0.899061061
977,0.902342583
978,0.905624105
979,0.909537467
980,0.915083448
981,0.920629428
982,0.922874907
983,0.92468939
984,0.926503873
985,0.928279109
986,0.928620927
987,0.928962744
988,0.929304561
989,0.929646378
990,0.929988196
991,0.930330013
992,0.93067183
993,0.930901435
994,0.931128291
995,0.931355148
996,0.931582004
997,0.931808861
998,0.932035718
999,0.932262574
1000,0.932489431
1001,0.932716288
1002,0.932943144
1003,0.933170001
1004,0.933396857
1005,0.933623714
1006,0.933850571
1007,0.934077427
1008,0.934304284
1009,0.934531141
1010,0.934757997
1011,0.934984854
1012,0.935211711
1013,0.935438567
1014,0.935665424
1015,0.93589228
1016,0.936119137
1017,0.936345994
1018,0.93657285
1019,0.936799707
1020,0.937026564
1021,0.93725342
1022,0.937480277
1023,0.937707133
1024,0.93793399
1025,0.938160847
1026,0.938387703
1027,0.93861456
1028,0.938841417
1029,0.939068273
1030,0.93929513
1031,0.939521986
1032,0.939748843
1033,0.9399757
1034,0.940202556
1035,0.940429413
1036,0.94065627
1037,0.940883126
1038,0.941109983
1039,0.94133684
1040,0.941563696
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1050,
