# Measured after mirror coatings in 2020
Wavelength (nm),T
741,0.62008277
742,0.619542836
743,0.619002901
744,0.618462967
745,0.617923033
746,0.617383099
747,0.616843164
748,0.61630323
749,0.615763296
750,0.615223362
751,0.614683428
752,0.614143493
753,0.613603559
754,0.613063625
755,0.612523691
756,0.611983757
757,0.611443822
758,0.610903888
759,0.610363954
760,0.60982402
761,0.609284086
762,0.608744151
763,0.608204217
764,0.607664283
765,0.607124349
766,0.606584414
767,0.60604448
768,0.605504546
769,0.604964612
770,0.604424678
771,0.603884743
772,0.603344809
773,0.602804875
774,0.602264941
775,0.601748483
776,0.601443308
777,0.601138134
778,0.600832959
779,0.600527785
780,0.60022261
781,0.599917436
782,0.599612262
783,0.599307087
784,0.599001913
785,0.598696738
786,0.598391564
787,0.59808639
788,0.597781215
789,0.597476041
790,0.597170866
791,0.596865692
792,0.596560517
793,0.596255343
794,0.595950169
795,0.595644994
796,0.59533982
797,0.595034645
798,0.594729471
799,0.594424297
800,0.594119122
801,0.593813948
802,0.593508773
803,0.593203599
804,0.592898424
805,0.59259325
806,0.592288076
807,0.591982901
808,0.591677727
809,0.591372552
810,0.591067378
811,0.590762203
812,0.590457029
813,0.590151855
814,0.58984668
815,0.589541506
816,0.589236331
817,0.588931157
818,0.588625983
819,0.588320808
820,0.588015634
821,0.587710459
822,0.587405285
823,0.58710011
824,0.586794936
825,0.586489762
826,0.586184587
827,0.586232939
828,0.586634817
829,0.587036695
830,0.587438574
831,0.587840452
832,0.58824233
833,0.588644208
834,0.589046086
835,0.589447964
836,0.589849843
837,0.590251721
838,0.590653599
839,0.591055477
840,0.591457355
841,0.591859234
842,0.592261112
843,0.59266299
844,0.593064868
845,0.593466746
846,0.593868624
847,0.594270503
848,0.594672381
849,0.595074259
850,0.595476137
851,0.595878015
852,0.596279893
853,0.596681772
854,0.59708365
855,0.597485528
856,0.597887406
857,0.598289284
858,0.598691162
859,0.599093041
860,0.599494919
861,0.599896797
862,0.600298675
863,0.600700553
864,0.601102431
865,0.60150431
866,0.601906188
867,0.602308066
868,0.602709944
869,0.603111822
870,0.603513701
871,0.603915579
872,0.604317457
873,0.604719335
874,0.605121213
875,0.605523091
876,0.60592497
877,0.606326848
878,0.606728726
879,0.607130604
880,0.607532482
881,0.60793436
882,0.608336239
883,0.608738117
884,0.609139995
885,0.609541873
886,0.610169837
887,0.61113693
888,0.612104022
889,0.613071115
890,0.614038207
891,0.6150053
892,0.615972392
893,0.616939485
894,0.617906577
895,0.61887367
896,0.619840762
897,0.620807855
898,0.621774947
899,0.62274204
900,0.623709132
901,0.624676225
902,0.625643317
903,0.62661041
904,0.627577502
905,0.628544595
906,0.629511687
907,0.63047878
908,0.631445872
909,0.632412965
910,0.633380057
911,0.63434715
912,0.635314242
913,0.636281335
914,0.637248427
915,0.63821552
916,0.639182612
917,0.640149705
918,0.641116797
919,0.64208389
920,0.643050982
921,0.644018075
922,0.644985167
923,0.64595226
924,0.646919352
925,0.647886445
926,0.648853537
927,0.64982063
928,0.650787722
929,0.651754815
930,0.652721907
931,0.653689
932,0.654656093
933,0.655623185
934,0.656590278
935,0.65755737
936,0.658524463
937,0.659491555
938,0.660458648
939,0.66142574
940,0.662392833
941,0.663359925
942,0.664327018
943,0.66529411
944,0.666261203
945,0.667228295
946,0.668195388
947,0.66916248
948,0.670129573
949,0.671096665
950,0.672063758
951,0.67303085
952,0.673997943
953,0.674965035
954,0.675754279
955,0.676128543
956,0.676502808
957,0.676877072
958,0.677251336
959,0.6776256
960,0.677999864
961,0.678374128
962,0.678748392
963,0.679122657
964,0.679496921
965,0.679871185
966,0.680245449
967,0.680619713
968,0.680993977
969,0.681368242
970,0.681742506
971,0.68211677
972,0.682491034
973,0.682865298
974,0.683239562
975,0.683613826
976,0.683988091
977,0.684362355
978,0.684736619
979,0.685110883
980,0.685485147
981,0.685859411
982,0.686233675
983,0.68660794
984,0.686982204
985,0.687356468
986,0.687730732
987,0.688104996
988,0.68847926
989,0.688853525
990,0.689227789
991,0.689602053
992,0.689976317
993,0.690350581
994,0.690724845
995,0.691099109
996,0.691473374
997,0.691847638
998,0.692221902
999,0.692596166
1000,0.69297043
1001,0.693344694
1002,0.693718958
1003,0.694093223
1004,0.694467487
1005,0.694841751
1006,0.695216015
1007,0.695590279
1008,0.695964543
1009,0.696338808
1010,0.696713072
1011,0.697087336
1012,0.6974616
1013,0.697835864
1014,0.698210128
1015,0.698584392
1016,0.698958657
1017,0.699332921
1018,0.699707185
1019,0.700081449
1020,0.700455713
1021,0.700829977
1022,0.701204242
1023,0.701578506
1024,0.70195277
1025,0.702327034
1026,0.702701298
1027,0.703075562
1028,0.703449826
1029,0.703824091
1030,0.704198355
1031,0.704572619
1032,0.704946883
1033,0.705321147
1034,0.705534607
1035,0.705707866
1036,0.705881125
1037,0.706054383
1038,0.706227642
1039,0.706400901
1040,0.70657416
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1050,
